ID,ParentID,Radial distance,Angle,Cluster size,Species,Cue,Observer,CSLow,CSHigh,OnWater,Aspect,Sightability,KWTransRes
309,18,443.3497537,45,2,DP,1,NE,2,2,w,2,4,
310,18,139.5730706,61,3,HP,1,NE,3,3,w,1,2,
311,18,1076.686443,79,4,KW,3,OA,2,5,w,4,4,R
312,18,356,81,3,HS,1,NE,3,4,l,5,2,
313,18,600,82,19,HS,1,NE,15,20,l,5,2,
314,18,143,84,1,HS,1,rw,1,1,w,2,2,
315,18,316,90,2,HP,1,NE,2,2,w,5,2,
316,19,785.5416392,0,1,HS,1,OA,1,1,w,1,2,
317,19,162,2,1,HS,1,RW,1,1,w,1,1,
318,19,162.601626,3,2,PW,1,OA,2,2,w,1,2,
319,19,201.2992955,4,2,HP,1,RW,2,2,w,2,1,
320,19,731.997438,5,2,HP,1,rw,2,2,w,2,1,
321,19,173.8493915,5,1,HP,1,RW,1,1,w,2,1,
322,19,461.4370468,6,1,HS,1,OA,1,1,w,3,1,
323,19,439.1984628,9,1,HS,1,rw,1,1,w,1,1,
324,19,318.6112942,11,1,HP,1,OA,1,1,w,2,1,
325,19,210.4492634,11,1,HP,1,RW,1,1,w,4,1,
326,19,461.4370468,21,1,HS,1,oa,1,1,w,1,2,
327,19,181.2788398,22,1,HS,1,OA,1,1,w,3,2,
328,19,49,31,1,HS,1,oa,1,1,w,3,1,
329,19,700,34,1,HS,1,OA,1,1,w,3,1,
330,19,104.5856798,36,1,HS,1,HS,1,1,w,1,2,
361,21,298.8505747,37,1,HS,1,NE,1,1,w,3,2,
362,21,114.9425287,37,1,G,1,ne,,,w,,2,
363,21,116.5845649,39,1,HS,1,ne,1,1,w,3,2,
364,21,574.7126437,39,1,HP,1,NE,1,1,w,1,2,
365,21,100.5631537,51,2,HP,1,HS,2,2,w,1,2,
366,21,340.5844869,51,1,HP,1,oa,1,2,w,2,1,
367,21,704.5475341,71,2,HP,1,rw,1,2,w,2,1,
368,21,52.2928399,71,1,HS,1,HS,1,1,w,2,2,
369,21,181.0136766,82,1,HS,1,hs,1,1,w,4,1,
370,21,50.32482386,82,1,HS,1,RW,1,1,w,3,2,
371,21,185.5500821,89,2,HS,1,ne,2,2,w,1,2,
372,21,348.6189327,90,1,HS,1,hs,1,1,w,3,1,
373,21,476,90,1,HS,1,rw,1,1,w,3,1,
374,22,785,3,1,HS,1,AE,1,1,w,2,2,
375,22,234.6473585,10,1,HS,1,HS,1,1,w,3,2,
376,22,353.9823009,11,1,HP,1,HS,1,2,w,2,2,
377,22,219.5992314,14,1,HS,1,RW,1,1,w,2,2,
378,22,462.5905068,16,1,HS,1,HS,1,1,w,4,2,
379,22,415.6610351,23,1,HS,1,HS,1,1,w,3,2,
380,22,301.689461,30,2,HP,1,HS,2,2,w,1,2,
381,22,1180,34,1,HS,1,OA,1,1,w,1,2,
382,22,258.1850143,36,1,HS,1,OA,1,1,w,3,2,
383,22,435.7736659,39,3,HP,1,HS,3,3,w,1,2,
384,22,315.0978815,49,1,HS,1,HS,1,1,w,2,2,
385,22,338,50,2,HS,1,ne,2,2,l,5,3,
386,22,120.6757844,62,1,HS,1,HS,1,1,w,3,2,
387,22,512,67,2,HS,1,sh,2,2,l,5,1,
388,22,183,72,2,HS,1,sh,2,2,l,5,3,
389,22,397,90,1,HS,1,rw,1,1,w,3,1,
390,23,113,0,1,HS,1,RW,1,1,w,3,2,
421,26,341,42,17,HS,1,ne,17,20,w,5,2,
422,26,600,90,25,HS,1,hs,25,27,l,5,2,
423,26,753,90,8,HS,1,ne,8,8,l,5,2,
424,26,644,96,1,HS,1,hs,1,1,w,5,2,
425,27,302.1313997,0,1,HS,1,OA,1,1,w,2,2,
426,27,628.0299691,22,1,HS,1,sh,1,1,w,3,2,
427,27,315.1167915,25,1,HS,1,sh,1,1,w,2,2,
428,27,29.66381015,33,1,G,6,OA,,,w,,2,
429,27,105.9265219,43,1,G,6,HS,,,w,,2,
430,27,367.816092,45,1,HS,1,ne,1,1,w,2,2,
431,27,375,57,1,HS,1,HS,1,1,l,5,2,
432,27,270.9359606,57,1,HS,1,NE,1,1,w,2,2,
433,27,83.73732922,65,1,HS,1,sh,1,1,w,1,2,
434,28,107.0546253,11,1,HS,1,rw,1,1,w,2,1,
435,28,812.8078818,38,1,HS,2,NE,1,1,w,5,1,
